Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Bahrain,Eastern Mediterranean,277389,16301.897,166,9.756,41,1394,81.924,1,0.059,0
Bosnia and Herzegovina,Europe,269231,8206.223,4669,142.312,659,12238,373.017,253,7.711,19
Kenya,Africa,254710,473.691,413,0.768,22,5328,9.909,12,0.022,3
Singapore,Western Pacific,252188,4310.654,14985,256.139,1670,662,11.316,76,1.299,8
Latvia,Europe,245623,12875.516,6048,317.035,617,3940,206.534,206,10.798,20
Qatar,Eastern Mediterranean,242087,8402.726,998,34.64,118,611,21.208,0,0,0
Norway,Europe,235307,4383.856,7762,144.609,0,996,18.556,44,0.82,0
Estonia,Europe,217381,16357.03,5285,397.675,837,1735,130.552,62,4.665,7
Nigeria,Africa,213589,103.614,442,0.214,57,2974,1.443,6,0.003,1
North Macedonia,Europe,211831,10167.66,2839,136.269,449,7418,356.056,89,4.272,12
Zambia,Africa,210070,1142.681,87,0.473,13,3667,19.947,1,0.005,0
Algeria,Africa,208952,476.504,982,2.239,257,6021,13.731,37,0.084,6
Australia,Western Pacific,198445,778.219,8881,34.828,1479,1942,7.616,60,0.235,4
Albania,Europe,195988,6810.341,3388,117.729,465,3035,105.463,49,1.703,6
Botswana,Africa,194445,8268.531,744,31.638,0,2416,102.737,5,0.213,0
Uzbekistan,Europe,191334,571.672,1651,4.933,212,1375,4.108,19,0.057,2
Puerto Rico,Americas,187429,6551.508,886,30.97,108,3262,114.022,5,0.175,1
Kyrgyzstan,Europe,182833,2802.386,492,7.541,53,2723,41.737,19,0.291,3
Finland,Europe,174823,3164.05,4482,81.118,0,1249,22.605,1,0.018,0
Kosovo[1],Europe,160956,8963.582,65,3.62,9,2972,165.51,2,0.111,1
Afghanistan,Eastern Mediterranean,156911,403.076,359,0.922,47,7365,18.919,72,0.185,2
Montenegro,Europe,154421,24586.904,2700,429.894,330,2237,356.175,43,6.846,6
Mozambique,Africa,151488,484.677,61,0.195,0,1938,6.201,2,0.006,2
Zimbabwe,Africa,133647,899.197,209,1.406,9,4699,31.616,2,0.013,0
Ghana,Africa,130744,420.765,95,0.306,17,1208,3.888,2,0.006,1
Cyprus,Europe,129888,14626.945,2410,271.395,255,590,66.441,2,0.225,1
Namibia,Africa,129085,5080.277,37,1.456,0,3569,140.462,5,0.197,0
China,Western Pacific,127512,8.667,252,0.017,49,5697,0.387,0,0,0
Uganda,Africa,127237,278.168,272,0.595,22,3256,7.118,17,0.037,0
Cambodia,Western Pacific,119867,716.952,331,1.98,41,2900,17.346,33,0.197,4
El Salvador,Americas,118041,1819.878,157,2.421,0,3753,57.861,25,0.385,2
Cameroon,Africa,106190,400.025,471,1.774,0,1770,6.668,12,0.045,0
Rwanda,Africa,100217,773.744,81,0.625,10,1340,10.346,2,0.015,0
Maldives,South-East Asia,90725,16784.018,726,134.309,0,248,45.88,1,0.185,0
Jamaica,Americas,90705,3063.15,496,16.75,75,2358,79.631,31,1.047,2
Luxembourg,Europe,85960,13729.261,1461,233.346,0,862,137.676,7,1.118,0
Senegal,Africa,73968,441.76,14,0.084,3,1883,11.246,2,0.012,0
Trinidad and Tobago,Americas,65889,4708.079,3967,283.461,996,1967,140.551,117,8.36,48
Angola,Africa,65011,197.805,98,0.298,0,1730,5.264,3,0.009,0
Lao People's Democratic Republic,Western Pacific,62160,854.367,7968,109.517,921,132,1.814,33,0.454,6
Malawi,Africa,61863,323.383,20,0.105,0,2304,12.044,2,0.01,0
Côte d’Ivoire,Africa,61591,233.491,80,0.303,14,702,2.661,0,0,0
Democratic Republic of the Congo,Africa,57977,64.734,174,0.194,53,1104,1.233,5,0.006,0
Réunion,Africa,57173,6385.819,1308,146.094,0,379,42.332,3,0.335,0
Guadeloupe,Americas,55080,13765.733,226,56.482,0,823,205.686,1,0.25,0
Fiji,Western Pacific,52453,5851.223,44,4.908,0,695,77.528,1,0.112,0
Suriname,Americas,50438,8597.894,392,66.822,28,1149,195.864,13,2.216,3
Syrian Arab Republic,Eastern Mediterranean,47212,269.773,937,5.354,121,2704,15.451,38,0.217,5
Eswatini,Africa,46487,4006.934,15,1.293,1,1248,107.571,3,0.259,0
French Guiana,Americas,45616,15272.43,250,83.701,0,322,107.807,0,0,0
French Polynesia,Western Pacific,45609,16236.277,8,2.848,0,636,226.409,0,0,0
Martinique,Americas,44618,11889.731,656,174.81,0,704,187.601,4,1.066,0
Madagascar,Africa,43672,157.712,0,0,0,964,3.481,0,0,0
Sudan,Eastern Mediterranean,41822,95.377,478,1.09,57,3103,7.077,16,0.036,0
Mauritania,Africa,38647,831.179,514,11.055,64,818,17.593,11,0.237,2
Malta,Europe,38589,7499.359,419,81.428,59,463,89.979,1,0.194,1
Cabo Verde,Africa,38327,6893.507,31,5.576,3,349,62.771,0,0,0
Guyana,Americas,37325,4745.395,584,74.248,141,976,124.086,19,2.416,5
Gabon,Africa,37045,1664.395,353,15.86,102,273,12.266,7,0.315,3
Papua New Guinea,Western Pacific,34472,385.29,1518,16.967,30,529,5.913,93,1.039,43
Guinea,Africa,30715,233.88,0,0,0,387,2.947,0,0,0
Belize,Americas,29501,7419.246,602,151.398,0,558,140.332,24,6.036,0
United Republic of Tanzania,Africa,26227,43.906,19,0.032,0,727,1.217,2,0.003,0
Togo,Africa,26207,316.558,49,0.592,8,243,2.935,0,0,0
Benin,Africa,24846,204.946,19,0.157,0,161,1.328,0,0,0
Haiti,Americas,24768,217.215,74,0.649,0,711,6.235,0,0,0
Barbados,Americas,23623,8220.27,1530,532.405,197,206,71.683,13,4.524,0
Seychelles,Africa,22976,23362.177,272,276.572,0,122,124.051,8,8.134,0
Somalia,Eastern Mediterranean,22969,144.521,132,0.831,0,1324,8.331,11,0.069,0
Bahamas,Americas,22655,5761.054,83,21.106,0,671,170.632,6,1.526,0
Lesotho,Africa,21729,1014.308,38,1.774,0,661,30.855,0,0,0
Mayotte,Africa,20860,7646.207,70,25.658,0,185,67.812,0,0,0
Burundi,Africa,20349,171.133,73,0.614,11,14,0.118,0,0,0
Timor-Leste,South-East Asia,19819,1503.21,9,0.683,0,122,9.253,0,0,0
Mauritius,Africa,18979,1492.332,0,0,0,240,18.871,0,0,0
Congo,Africa,18717,339.194,327,5.926,0,339,6.143,20,0.362,0
Tajikistan,Europe,17493,183.41,4,0.042,0,125,1.311,0,0,0
Curaçao,Americas,17270,10524.52,83,50.581,0,175,106.647,0,0,0
Mali,Africa,16947,83.685,280,1.383,27,592,2.923,7,0.035,1
Iceland,Europe,16435,4513.448,843,231.508,0,34,9.337,0,0,0
Aruba,Americas,16149,15125.602,92,86.17,0,173,162.037,1,0.937,0
Andorra,Europe,16086,20819.258,267,345.564,0,130,168.252,0,0,0
Burkina Faso,Africa,15514,74.218,233,1.115,0,265,1.268,31,0.148,0
Guam,Western Pacific,15062,8924.308,83,49.178,0,262,155.236,4,2.37,0
Brunei Darussalam,Western Pacific,14591,3335.246,376,85.947,77,57,13.029,0,0,0
Equatorial Guinea,Africa,13538,964.943,79,5.631,0,170,12.117,2,0.143,0
Djibouti,Eastern Mediterranean,13501,1366.498,6,0.607,0,186,18.826,0,0,0
Nicaragua,Americas,13242,199.893,92,1.389,0,211,3.185,1,0.015,0
Saint Lucia,Americas,12902,7026.2,67,36.487,8,278,151.394,9,4.901,0
Jersey,Europe,12697,11778.73,589,546.402,0,80,74.214,0,0,0
South Sudan,Africa,12680,113.278,90,0.804,5,133,1.188,0,0,0
New Caledonia,Western Pacific,11871,4157.998,298,104.379,8,276,96.673,4,1.401,2
Central African Republic,Africa,11666,241.544,0,0,0,101,2.091,0,0,0
Isle of Man,Europe,10558,12416.502,331,389.265,54,66,77.618,2,2.352,0
Gambia,Africa,9988,413.296,8,0.331,0,342,14.152,1,0.041,0
Yemen,Eastern Mediterranean,9955,33.377,31,0.104,0,1938,6.498,13,0.044,0
New Zealand,Western Pacific,9811,203.453,1307,27.104,205,40,0.829,7,0.145,1
Grenada,Americas,7873,6996.792,2010,1786.301,2007,200,177.741,0,0,0
United States Virgin Islands,Americas,7446,7130.476,89,85.229,7,85,81.398,1,0.958,0
Eritrea,Africa,7175,202.317,120,3.384,19,54,1.523,3,0.085,0
Gibraltar,Europe,6843,20311.062,379,1124.93,0,98,290.879,0,0,0
Niger,Africa,6836,28.24,144,0.595,43,242,1,10,0.041,4
Guinea-Bissau,Africa,6434,326.931,32,1.626,0,146,7.419,2,0.102,0
Sierra Leone,Africa,6400,80.231,0,0,0,121,1.517,0,0,0
Liberia,Africa,5819,115.053,1,0.02,0,287,5.675,0,0,0
San Marino,Europe,5758,16966.233,117,344.746,0,93,274.029,1,2.947,0
Bermuda,Americas,5715,9177.332,7,11.241,0,106,170.218,0,0,0
Dominica,Americas,5642,7837.091,681,945.952,201,35,48.617,3,4.167,0
Cayman Islands,Americas,5532,8417.529,2105,3202.982,0,4,6.086,2,3.043,0
Saint Vincent and the Grenadines,Americas,5391,4859.383,121,109.068,0,73,65.801,2,1.803,0
Chad,Africa,5107,31.091,0,0,0,175,1.065,0,0,0
Sint Maarten,Americas,4554,10619.84,28,65.295,0,75,174.899,0,0,0
Comoros,Africa,4450,511.729,54,6.21,0,150,17.249,1,0.115,0
Liechtenstein,Europe,4186,10803.417,263,678.762,0,58,149.689,0,0,0
Antigua and Barbuda,Americas,4135,4222.447,17,17.36,2,108,110.284,1,1.021,0
Saint Martin,Americas,4013,10380.506,20,51.734,0,38,98.295,0,0,0
Sao Tome and Principe,Africa,3731,1702.417,0,0,0,56,25.552,0,0,0
Monaco,Europe,3552,9051.065,74,188.564,2,36,91.734,0,0,0
Faroe Islands,Europe,3169,6485.214,265,542.31,38,12,24.557,5,10.232,1
Turks and Caicos Islands,Americas,3085,7967.87,50,129.139,9,23,59.404,0,0,0
Guernsey,Europe,2995,4645.716,318,493.268,0,23,35.677,0,0,0
Saint Kitts and Nevis,Americas,2766,5200.03,17,31.96,2,28,52.639,1,1.88,0
British Virgin Islands,Americas,2765,9144.426,20,66.144,0,38,125.674,0,0,0
Bhutan,South-East Asia,2632,341.106,7,0.907,0,3,0.389,0,0,0
Bonaire,Americas,2629,12569.926,85,406.407,0,21,100.406,0,0,0
Saint Barthélemy,Americas,1666,16853.819,5,50.582,0,4,40.465,0,0,0
Anguilla,Americas,1268,8452.206,131,873.217,0,3,19.997,0,0,0
Greenland,Europe,1129,1988.656,139,244.839,0,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,464,806.157,75,130.306,7,3,5.212,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Falkland Islands (Malvinas),Americas,79,2268.16,0,0,0,0,0,0,0,0
Montserrat,Americas,44,880.176,3,60.012,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,44,759.275,11,189.819,4,0,0,0,0,0
Sint Eustatius,Americas,30,955.718,1,31.857,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,5,9.058,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
