Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,236132082,3029.4548635872934,2982878,38.268812048112736,448770,4822472,61.86987016407852,50461,0.6473890399673796,7764,
United States of America,Americas,43673628,13194.34,706690,213.5,104616,700773,211.71,12674,3.83,1868
India,South-East Asia,33894312,2456.1,154332,11.18,22431,449856,32.6,1794,0.13,318
Brazil,Americas,21499074,10114.38,117284,55.18,20528,598829,281.72,3383,1.59,677
The United Kingdom,Europe,8006664,11794.28,235366,346.71,38675,137295,202.24,770,1.13,143
Russian Federation,Europe,7690110,5269.56,179084,122.72,27550,213549,146.33,6294,4.31,924
Turkey,Europe,7327317,8687.93,202351,239.93,30438,65373,77.51,1535,1.82,236
France,Europe,6821616,10488.44,27520,42.31,4833,114660,176.29,239,0.37,30
Iran (Islamic Republic of),Eastern Mediterranean,5662458,6741.59,89496,106.55,10497,121779,144.99,1619,1.93,216
Argentina,Americas,5261935,11642.54,8170,18.08,1216,115323,255.16,285,0.63,40
Spain,Europe,4969503,10499.11,10119,21.38,965,86678,183.13,125,0.26,4
Colombia,Americas,4964454,9756.63,10078,19.81,1211,126455,248.52,236,0.46,30
Italy,Europe,4689341,7862.55,21080,35.34,3232,131157,219.91,287,0.48,39
Germany,Europe,4283378,5150.35,55877,67.19,11644,94027,113.06,389,0.47,68
Indonesia,South-East Asia,4224487,1544.47,9383,3.43,1393,142494,52.1,555,0.2,81
Mexico,Americas,3691924,2863.45,46325,35.93,7682,279896,217.09,3520,2.73,790
Poland,Europe,2916969,7684.7,9898,26.08,2007,75803,199.7,153,0.4,29
South Africa,Africa,2908768,4904.45,7774,13.11,1149,87981,148.34,456,0.77,59
Philippines,Western Pacific,2622917,2393.59,87237,79.61,9868,38828,35.43,664,0.61,0
Ukraine,Europe,2497643,5711.02,74264,169.81,15125,57840,132.25,1566,3.58,314
Malaysia,Western Pacific,2303837,7118.08,70877,218.99,9380,26981,83.36,838,2.59,105
Peru,Americas,2180149,6612.15,5930,17.99,833,199520,605.12,191,0.58,18
Iraq,Eastern Mediterranean,2016623,5013.67,15754,39.17,2519,22440,55.79,219,0.54,20
Netherlands,Europe,2013425,11566.37,12165,69.88,1929,18194,104.52,26,0.15,3
Japan,Western Pacific,1707752,1350.25,8116,6.42,1077,17819,14.09,214,0.17,30
Czechia,Europe,1697064,15869.4,5564,52.03,1047,30493,285.14,18,0.17,3
Thailand,South-East Asia,1678297,2404.44,74822,107.19,11200,17418,24.95,691,0.99,113
Chile,Americas,1658444,8675.59,5038,26.35,695,37512,196.23,57,0.3,6
Canada,Americas,1643420,4354.34,27561,73.02,2814,28050,74.32,296,0.78,49
Bangladesh,South-East Asia,1560818,947.73,4907,2.98,663,27647,16.79,137,0.08,12
Romania,Europe,1318367,6820.73,84699,438.2,14467,38542,199.4,1479,7.65,263
Israel,Europe,1299370,15012,20587,237.85,2369,7867,90.89,103,1.19,7
Belgium,Europe,1256191,10902.13,10028,87.03,1,25649,222.6,48,0.42,0
Pakistan,Eastern Mediterranean,1253868,567.64,10483,4.75,1212,27986,12.67,296,0.13,39
Sweden,Europe,1156248,11195.72,4249,41.14,733,14889,144.17,8,0.08,0
Portugal,Europe,1072537,10417.12,4007,38.92,500,18008,174.9,40,0.39,4
Serbia,Europe,981329,14167.33,46889,676.93,7150,8531,123.16,344,4.97,50
Kazakhstan,Europe,974944,5192.31,14366,76.51,2265,16303,86.83,297,1.58,39
Morocco,Eastern Mediterranean,936963,2538.47,4990,13.52,727,14390,38.99,142,0.38,18
Cuba,Americas,904108,7982.15,31683,279.72,3596,7703,68.01,325,2.87,40
Switzerland,Europe,842765,9737.75,5359,61.92,2,10673,123.32,13,0.15,0
Jordan,Eastern Mediterranean,829888,8133.66,6996,68.57,1316,10774,105.6,64,0.63,12
Hungary,Europe,826636,8461.37,3931,40.24,837,30259,309.73,69,0.71,6
Viet Nam,Western Pacific,822687,845.18,43289,44.47,4363,20098,20.65,1000,1.03,119
Nepal,South-East Asia,800282,2746.64,5221,17.92,667,11200,38.44,65,0.22,8
Austria,Europe,750124,8427.35,12724,142.95,2924,10819,121.55,57,0.64,15
United Arab Emirates,Eastern Mediterranean,737229,7453.98,1502,15.19,156,2107,21.3,12,0.12,3
Tunisia,Eastern Mediterranean,709001,5999.02,2198,18.6,213,24971,211.29,103,0.87,5
Greece,Europe,668811,6239.74,15276,142.52,2294,15012,140.06,217,2.02,21
Lebanon,Eastern Mediterranean,627722,9196.79,4113,60.26,796,8370,122.63,54,0.79,6
Georgia,Europe,626058,15693.92,13046,327.04,2228,9162,229.67,216,5.41,28
Guatemala,Americas,569440,3178.46,12196,68.07,0,13794,76.99,269,1.5,0
Belarus,Europe,549817,5818.59,13720,145.2,1991,4228,44.74,99,1.05,16
Saudi Arabia,Eastern Mediterranean,547402,1572.37,312,0.9,45,8732,25.08,19,0.05,2
Costa Rica,Americas,539422,10589.11,11345,222.71,1506,6522,128.03,206,4.04,28
Sri Lanka,South-East Asia,522778,2441.38,5401,25.22,0,13185,61.57,279,1.3,0
Bulgaria,Europe,514208,7397.1,14096,202.78,2542,21411,308.01,599,8.62,91
Ecuador,Americas,511317,2898.12,2079,11.78,363,32819,186.02,57,0.32,14
Bolivia (Plurinational State of),Americas,502047,4300.92,2399,20.55,431,18770,160.8,54,0.46,4
Azerbaijan,Europe,488213,4815.12,5085,50.15,1009,6611,65.2,98,0.97,12
Myanmar,South-East Asia,474419,871.94,10343,19.01,1394,18034,33.14,299,0.55,36
Panama,Americas,468114,10849.11,1525,35.34,253,7250,168.03,31,0.72,6
Paraguay,Americas,460084,6450.49,185,2.59,23,16204,227.18,11,0.15,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,440936,8643.41,8325,163.19,1091,4456,87.35,108,2.12,18
Slovakia,Europe,420924,7712.24,8417,154.22,1451,12705,232.78,68,1.25,8
Croatia,Europe,413665,10193.4,10585,260.83,1748,8730,215.12,102,2.51,8
Kuwait,Eastern Mediterranean,411935,9645.9,330,7.73,31,2452,57.42,4,0.09,0
Ireland,Europe,396625,7989.32,7960,160.34,982,5280,106.36,31,0.62,31
Uruguay,Americas,389363,11208.79,663,19.09,103,6059,174.42,6,0.17,1
Venezuela (Bolivarian Republic of),Americas,376311,1323.36,10161,35.73,1452,4539,15.96,96,0.34,13
Honduras,Americas,368654,3722.05,3395,34.28,330,9913,100.08,158,1.6,34
Dominican Republic,Americas,362849,3344.87,4867,44.87,746,4056,37.39,15,0.14,1
Denmark,Europe,361461,6207.72,3092,53.1,573,2665,45.77,11,0.19,1
Ethiopia,Africa,351338,305.61,7016,6.1,1134,5843,5.08,309,0.27,32
Lithuania,Europe,345095,12350.89,13412,480.01,2268,5158,184.6,165,5.91,24
Libya,Eastern Mediterranean,343932,5005.35,4663,67.86,692,4720,68.69,84,1.22,10
Republic of Korea,Western Pacific,325804,635.48,14517,28.32,2427,2544,4.96,63,0.12,8
Mongolia,Western Pacific,319442,9744.17,15163,462.53,2237,1318,40.2,114,3.48,15
Egypt,Eastern Mediterranean,309135,302.08,5352,5.23,788,17545,17.14,251,0.25,37
Oman,Eastern Mediterranean,303895,5950.99,157,3.07,29,4101,80.31,5,0.1,1
Republic of Moldova,Europe,301431,7472.33,8592,212.99,1588,6927,171.72,174,4.31,26
Slovenia,Europe,298274,14231.57,5937,283.27,1208,4913,234.41,16,0.76,0
Bahrain,Eastern Mediterranean,275394,16184.65,413,24.27,45,1390,81.69,1,0.06,1
Armenia,Europe,268672,9066.85,6975,235.38,1309,5466,184.46,147,4.96,26
Kenya,Africa,250510,465.88,1336,2.48,130,5175,9.62,56,0.1,25
Bosnia and Herzegovina,Europe,238458,7268.25,4683,142.74,708,10802,329.25,228,6.95,29
Qatar,Eastern Mediterranean,237147,8231.26,589,20.44,99,606,21.03,1,0.03,0
Zambia,Africa,209248,1138.21,246,1.34,49,3652,19.87,4,0.02,2
