Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Bulgaria,Europe,317116,4563.84,25347,364.79,4375,12413,178.64,698,10.05,106,Clusters of cases
Ecuador,Americas,316807,1795.65,11209,63.53,3237,16540,93.75,240,1.36,36,Community transmission
Belarus,Europe,313852,3321.42,8582,90.82,1378,2184,23.11,63,0.67,9,Community transmission
Kazakhstan,Europe,285241,1519.12,6021,32.07,0,3586,19.1,75,0.4,0,Clusters of cases
Georgia,Europe,279027,6994.62,2591,64.95,399,3732,93.55,58,1.45,10,Community transmission
Nepal,South-East Asia,276389,948.59,871,2.99,145,3020,10.36,6,0.02,1,Clusters of cases
Bolivia (Plurinational State of),Americas,266086,2279.5,5098,43.67,879,12093,103.6,96,0.82,19,Community transmission
Croatia,Europe,262309,6389.57,7802,190.05,1673,5838,142.21,112,2.73,10,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,258297,5063.24,14818,290.47,2032,2751,53.93,161,3.16,23,Community transmission
Dominican Republic,Americas,250579,2309.93,3215,29.64,402,3289,30.32,41,0.38,6,Community transmission
Azerbaijan,Europe,249492,2460.67,7001,69.05,1185,3404,33.57,97,0.96,20,Clusters of cases
Tunisia,Eastern Mediterranean,247254,2092.07,3815,32.28,747,8637,73.08,174,1.47,27,Community transmission
Greece,Europe,245405,2354.44,18158,174.21,3058,7649,73.39,397,3.81,67,Community transmission
Ireland,Europe,232164,4701.78,3949,79.98,680,4628,93.73,62,1.26,18,Community transmission
Denmark,Europe,227894,3934.5,5265,90.9,863,2405,41.52,9,0.16,2,Community transmission
Kuwait,Eastern Mediterranean,223042,5222.77,9369,219.39,1299,1256,29.41,62,1.45,10,Community transmission
Republic of Moldova,Europe,219988,5453.4,11060,274.17,2273,4661,115.54,225,5.58,39,Community transmission
Costa Rica,Americas,213438,4189.89,2991,58.71,513,2908,57.09,22,0.43,4,Community transmission
Lithuania,Europe,211804,7780.36,4335,159.24,793,3521,129.34,79,2.9,11,Community transmission
Slovenia,Europe,208589,10033.44,6019,289.52,1288,4280,205.87,27,1.3,1,Clusters of cases
Paraguay,Americas,198135,2777.9,14787,207.32,2023,3818,53.53,264,3.7,49,Community transmission
Egypt,Eastern Mediterranean,197350,192.85,4510,4.41,641,11720,11.45,289,0.28,40,Clusters of cases
Ethiopia,Africa,192575,167.51,12763,11.1,1981,2718,2.36,126,0.11,25,Community transmission
Guatemala,Americas,189067,1055.32,5076,28.33,0,6730,37.57,111,0.62,0,Community transmission
Armenia,Europe,187441,6325.54,6276,211.79,1257,3416,115.28,115,3.88,18,Community transmission
Honduras,Americas,184031,1858.03,4516,45.59,751,4489,45.32,116,1.17,20,Community transmission
Qatar,Eastern Mediterranean,175332,6085.69,3631,126.03,570,278,9.65,8,0.28,3,Community transmission
Nigeria,Africa,162178,78.67,917,0.44,96,2031,0.99,4,0,0,Community transmission
Bosnia and Herzegovina,Europe,158198,4821.91,10035,305.87,1852,6067,184.92,395,12.04,62,Community transmission
Libya,Eastern Mediterranean,154320,2245.87,6145,89.43,909,2582,37.58,160,2.33,18,Community transmission
Oman,Eastern Mediterranean,153105,2998.16,4547,89.04,741,1644,32.19,27,0.53,11,Community transmission
Venezuela (Bolivarian Republic of),Americas,152508,536.32,5480,19.27,614,1511,5.31,60,0.21,9,Community transmission
Myanmar,South-East Asia,142315,261.56,125,0.23,23,3204,5.89,1,0,0,Clusters of cases
Bahrain,Eastern Mediterranean,138283,8126.76,5146,302.43,733,507,29.8,18,1.06,4,Clusters of cases
Kenya,Africa,124707,231.92,8397,15.62,1540,2066,3.84,129,0.24,18,Community transmission
Albania,Europe,122295,4249.6,3357,116.65,448,2171,75.44,79,2.75,15,Clusters of cases
North Macedonia,Europe,122227,5866.76,7005,336.23,1345,3545,170.16,157,7.54,17,Community transmission
Algeria,Africa,116438,265.53,750,1.71,89,3069,7,21,0.05,3,Community transmission
Puerto Rico,Americas,104888,3666.32,1610,56.28,145,2100,73.4,17,0.59,2,Community transmission
China,Western Pacific,102612,6.97,162,0.01,23,4850,0.33,1,0,0,Clusters of cases
Estonia,Europe,100437,7571.38,9406,709.07,1429,836,63.02,78,5.88,13,Clusters of cases
Republic of Korea,Western Pacific,100276,195.59,2985,5.82,430,1709,3.33,21,0.04,2,Clusters of cases
Latvia,Europe,98870,5241.76,3450,182.91,776,1851,98.13,62,3.29,11,Community transmission
Sri Lanka,South-East Asia,91018,425.05,2156,10.07,253,552,2.58,15,0.07,0,Clusters of cases
Ghana,Africa,89893,289.3,1472,4.74,0,734,2.36,29,0.09,0,Community transmission
Norway,Europe,89117,1643.85,6662,122.89,1078,656,12.1,8,0.15,7,Community transmission
Montenegro,Europe,88545,14098.04,2273,361.9,0,1226,195.2,48,7.64,0,Clusters of cases
Kyrgyzstan,Europe,87758,1345.12,615,9.43,106,1494,22.9,9,0.14,2,Clusters of cases
Zambia,Africa,86993,473.2,1491,8.11,214,1187,6.46,17,0.09,2,Community transmission
Uruguay,Americas,86007,2475.93,12237,352.27,1795,827,23.81,102,2.94,16,Community transmission
Kosovo[1],Europe,84455,4539.66,5409,290.75,781,1793,96.38,72,3.87,17,Community transmission
Uzbekistan,Europe,81816,244.45,845,2.52,138,624,1.86,2,0.01,1,Clusters of cases
Finland,Europe,73516,1326.83,4823,87.05,803,811,14.64,7,0.13,2,Community transmission
Cuba,Americas,68986,609.06,5261,46.45,736,405,3.58,25,0.22,4,Community transmission
Mozambique,Africa,66649,213.24,1452,4.65,153,752,2.41,19,0.06,2,Community transmission
El Salvador,Americas,63766,983.1,1235,19.04,422,1990,30.68,28,0.43,4,Community transmission
Singapore,Western Pacific,60236,1029.62,99,1.69,15,30,0.51,0,0,0,Sporadic cases
Luxembourg,Europe,59907,9570.14,1499,239.47,245,728,116.3,24,3.83,2,Community transmission
Afghanistan,Eastern Mediterranean,56226,144.43,182,0.47,34,2467,6.34,5,0.01,1,Clusters of cases
Cameroon,Africa,47669,179.57,8681,32.7,8681,721,2.72,133,0.5,133,Community transmission
Cyprus,Europe,43286,3585.18,2560,212.03,293,248,20.54,7,0.58,2,Clusters of cases
Namibia,Africa,42864,1686.96,1318,51.87,93,502,19.76,25,0.98,4,Community transmission
Côte d’Ivoire,Africa,41307,156.59,3025,11.47,439,224,0.85,10,0.04,2,Community transmission
Uganda,Africa,40719,89.02,112,0.24,0,334,0.73,0,0,0,Community transmission
Senegal,Africa,38134,227.75,880,5.26,178,1023,6.11,33,0.2,3,Community transmission
Botswana,Africa,37559,1597.15,2560,108.86,0,485,20.62,38,1.62,0,Community transmission
Zimbabwe,Africa,36749,247.25,196,1.32,32,1516,10.2,8,0.05,0,Community transmission
Jamaica,Americas,36670,1238.36,3942,133.12,439,545,18.4,38,1.28,3,Community transmission
Malawi,Africa,33354,174.35,384,2.01,31,1105,5.78,17,0.09,6,Community transmission
Sudan,Eastern Mediterranean,31407,71.62,313,0.71,0,2028,4.62,47,0.11,0,Community transmission
Australia,Western Pacific,29220,114.59,67,0.26,9,909,3.56,0,0,0,Clusters of cases
Malta,Europe,28510,6456.9,1238,280.38,101,377,85.38,16,3.62,2,Clusters of cases
Thailand,South-East Asia,28443,40.75,949,1.36,97,92,0.13,3,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,27659,30.88,408,0.46,80,726,0.81,4,0,0,Community transmission
Maldives,South-East Asia,22929,4241.84,968,179.08,139,66,12.21,2,0.37,0,Clusters of cases
Madagascar,Africa,22844,82.5,1488,5.37,162,363,1.31,37,0.13,2,Community transmission
Angola,Africa,21836,66.44,347,1.06,62,532,1.62,10,0.03,1,Community transmission
Rwanda,Africa,21106,162.95,626,4.83,131,297,2.29,14,0.11,2,Community transmission
Mayotte,Africa,19224,7046.53,302,110.7,0,154,56.45,12,4.4,0,Community transmission
Guinea,Africa,19084,145.32,799,6.08,139,113,0.86,7,0.05,0,Community transmission
French Polynesia,Western Pacific,18598,6620.67,32,11.39,3,141,50.19,0,0,0,Sporadic cases
Gabon,Africa,18078,812.23,781,35.09,0,108,4.85,3,0.13,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,17896,102.26,1120,6.4,153,1195,6.83,75,0.43,12,Community transmission
Mauritania,Africa,17690,380.46,169,3.63,32,447,9.61,2,0.04,0,Community transmission
Eswatini,Africa,17301,1491.25,44,3.79,5,666,57.41,3,0.26,-2,Community transmission
French Guiana,Americas,16764,5612.66,0,0,0,87,29.13,0,0,0,Community transmission
Cabo Verde,Africa,16661,2996.65,411,73.92,106,163,29.32,5,0.9,0,Community transmission
Réunion,Africa,15561,1738.05,930,103.87,0,102,11.39,15,1.68,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12732,111.66,46,0.4,0,251,2.2,0,0,0,Community transmission
Burkina Faso,Africa,12596,60.26,170,0.81,24,145,0.69,0,0,0,Community transmission
Belize,Americas,12410,3121.01,21,5.28,3,316,79.47,0,0,0,Community transmission
Andorra,Europe,11638,15062.45,278,359.8,47,114,147.54,1,1.29,1,Community transmission
Guadeloupe,Americas,11095,2772.89,370,92.47,0,169,42.24,1,0.25,0,Community transmission
Lesotho,Africa,10686,498.82,156,7.28,1,315,14.7,6,0.28,1,Community transmission
Somalia,Eastern Mediterranean,10531,66.26,931,5.86,162,463,2.91,71,0.45,10,Community transmission
South Sudan,Africa,9969,89.06,275,2.46,50,107,0.96,1,0.01,1,Community transmission
Guyana,Americas,9732,1237.3,494,62.81,64,218,27.72,10,1.27,2,Clusters of cases
Congo,Africa,9681,175.44,117,2.12,0,135,2.45,1,0.02,0,Community transmission
Mali,Africa,9577,47.29,644,3.18,103,372,1.84,9,0.04,4,Community transmission
Togo,Africa,9147,110.49,675,8.15,70,105,1.27,11,0.13,10,Community transmission
Suriname,Americas,9074,1546.8,40,6.82,7,177,30.17,1,0.17,0,Clusters of cases
Bahamas,Americas,8935,2272.13,134,34.08,0,188,47.81,2,0.51,0,Clusters of cases
Aruba,Americas,8902,8337.86,420,393.38,102,82,76.8,2,1.87,0,Community transmission
Trinidad and Tobago,Americas,7865,561.99,75,5.36,4,141,10.08,1,0.07,1,Community transmission
Guam,Western Pacific,7579,4490.59,13,7.7,3,134,79.4,0,0,0,Clusters of cases
Martinique,Americas,7264,1935.7,227,60.49,0,47,12.52,0,0,0,Community transmission
Benin,Africa,7100,58.57,282,2.33,0,90,0.74,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6895,697.87,510,51.62,124,64,6.48,1,0.1,0,Community transmission
Equatorial Guinea,Africa,6851,488.32,248,17.68,71,102,7.27,2,0.14,1,Community transmission
Curaçao,Americas,6174,3762.5,936,570.41,133,24,14.63,2,1.22,0,Community transmission
Iceland,Europe,6158,1804.58,67,19.63,36,29,8.5,0,0,0,Community transmission
Mongolia,Western Pacific,5610,171.13,1270,38.74,218,5,0.15,1,0.03,0,Clusters of cases
Gambia,Africa,5303,219.43,181,7.49,0,161,6.66,1,0.04,0,Community transmission
Nicaragua,Americas,5288,79.82,37,0.56,0,177,2.67,1,0.02,0,Community transmission
Central African Republic,Africa,5087,105.33,23,0.48,-1,64,1.33,1,0.02,0,Community transmission
Niger,Africa,4955,20.47,51,0.21,16,185,0.76,0,0,0,Community transmission
Papua New Guinea,Western Pacific,4660,52.08,2002,22.38,551,39,0.44,3,0.03,0,Community transmission
San Marino,Europe,4484,13212.33,235,692.44,51,82,241.62,5,14.73,2,Community transmission
Chad,Africa,4453,27.11,96,0.58,13,158,0.96,2,0.01,0,Community transmission
Gibraltar,Europe,4271,12676.98,2,5.94,1,94,279.01,0,0,0,Clusters of cases
Saint Lucia,Americas,4149,2259.47,80,43.57,17,57,31.04,2,1.09,2,Community transmission
Sierra Leone,Africa,3953,49.56,11,0.14,4,79,0.99,0,0,0,Community transmission
Seychelles,Africa,3862,3926.91,508,516.54,34,18,18.3,2,2.03,2,Community transmission
Yemen,Eastern Mediterranean,3707,12.43,666,2.23,91,801,2.69,87,0.29,15,Community transmission
Comoros,Africa,3681,423.3,29,3.33,0,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3591,182.47,103,5.23,5,56,2.85,2,0.1,0,Community transmission
Barbados,Americas,3574,1243.67,116,40.37,15,40,13.92,1,0.35,0,Community transmission
Jersey,Europe,3225,2964.15,1,0.92,1,69,63.42,0,0,0,Community transmission
Eritrea,Africa,3183,89.75,105,2.96,20,8,0.23,1,0.03,-27,Community transmission
United States Virgin Islands,Americas,2877,2755.09,85,81.4,50,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2723,7140.05,22,57.69,0,54,141.59,0,0,0,Sporadic cases
Burundi,Africa,2657,22.35,115,0.97,0,6,0.05,3,0.03,0,Community transmission
Viet Nam,Western Pacific,2576,2.65,9,0.01,0,35,0.04,0,0,0,Clusters of cases
Turks and Caicos Islands,Americas,2307,5958.47,57,147.22,13,17,43.91,2,5.17,0,Clusters of cases
Monaco,Europe,2210,5631.43,69,175.82,11,28,71.35,1,2.55,1,Sporadic cases
Sao Tome and Principe,Africa,2174,991.97,67,30.57,15,34,15.51,1,0.46,0,Community transmission
New Zealand,Western Pacific,2120,43.96,42,0.87,6,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2108,4915.82,20,46.64,4,27,62.96,0,0,0,Community transmission
Liberia,Africa,2052,40.57,10,0.2,5,85,1.68,0,0,0,Community transmission
Cambodia,Western Pacific,1872,11.2,331,1.98,55,5,0.03,4,0.02,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,1703,1535.06,22,19.83,3,10,9.01,1,0.9,0,Community transmission
Saint Martin,Americas,1633,4224.11,21,54.32,0,12,31.04,0,0,0,Community transmission
Isle of Man,Europe,1516,1782.86,165,194.04,13,26,30.58,0,0,0,No cases
Bonaire,Americas,1119,5350.23,279,1333.97,27,10,47.81,4,19.13,1,Community transmission
Antigua and Barbuda,Americas,1080,1102.84,88,89.86,8,28,28.59,1,1.02,0,Clusters of cases
Bhutan,South-East Asia,870,112.75,2,0.26,1,1,0.13,0,0,0,Sporadic cases
Mauritius,Africa,860,67.62,71,5.58,48,10,0.79,0,0,0,Clusters of cases
Bermuda,Americas,840,1348.9,98,157.37,10,12,19.27,0,0,0,Sporadic cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Saint Barthélemy,Americas,776,7850.28,51,515.93,0,1,10.12,0,0,0,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,1352.71,0,0,0,1,2.05,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,482,733.41,8,12.17,0,2,3.04,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,372,28.22,156,11.83,21,0,0,0,0,0,Clusters of cases
Wallis and Futuna,Western Pacific,350,3112.22,80,711.36,12,3,26.68,3,26.68,1,Sporadic cases
Brunei Darussalam,Western Pacific,206,47.09,3,0.69,0,3,0.69,0,0,0,Clusters of cases
Dominica,Americas,160,222.25,3,4.17,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,159,276.25,2,3.47,1,2,3.47,0,0,0,Pending
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,154,136.86,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,120,42.03,25,8.76,4,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,67,7.47,1,0.11,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,49,0.67,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,1,1.88,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,23,153.31,2,13.33,1,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
