Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Latvia,Europe,295961,15514.225,12812,671.603,2566,4700,246.373,75,3.931,10
Zambia,Africa,291582,1586.068,17495,95.165,2167,3834,20.855,52,0.283,4
Singapore,Western Pacific,289085,4941.335,5871,100.353,960,839,14.341,4,0.068,0
Qatar,Eastern Mediterranean,287091,9964.794,26808,930.493,4187,623,21.624,5,0.174,2
Estonia,Europe,262482,19750.695,12890,969.92,2086,1970,148.234,19,1.43,3
Nigeria,Africa,250009,121.281,3814,1.85,423,3092,1.5,26,0.013,0
North Macedonia,Europe,239920,11515.902,9655,463.43,1859,8070,387.351,47,2.256,8
Botswana,Africa,237678,10106.96,7823,332.663,5246,2514,106.905,39,1.658,17
Albania,Europe,226598,7874.001,11693,406.317,2029,3255,113.107,22,0.764,2
Zimbabwe,Africa,225084,1514.399,4906,33.008,651,5222,35.134,114,0.767,7
Algeria,Africa,224383,511.694,3558,8.114,577,6383,14.556,65,0.148,11
Cyprus,Europe,218374,24591.528,26217,2952.348,3103,672,75.675,22,2.477,3
Mozambique,Africa,216559,692.868,13318,42.61,1752,2109,6.748,44,0.141,4
Uzbekistan,Europe,203297,607.415,3539,10.574,824,1511,4.515,23,0.069,3
Montenegro,Europe,198852,31661.205,15463,2462.018,2119,2457,391.203,34,5.413,4
Kyrgyzstan,Europe,188206,2884.741,2722,41.722,586,2827,43.331,13,0.199,1
Kosovo[1],Europe,164077,9137.39,2155,120.011,427,2984,166.178,3,0.167,2
Afghanistan,Eastern Mediterranean,158602,407.42,323,0.83,91,7376,18.948,8,0.021,0
Uganda,Africa,157227,343.733,6859,14.995,523,3385,7.4,60,0.131,7
Namibia,Africa,153611,6045.523,2611,102.759,629,3783,148.884,97,3.818,48
Ghana,Africa,152729,491.518,4650,14.965,0,1336,4.3,23,0.074,0
China,Western Pacific,135299,9.196,1895,0.129,280,5700,0.387,1,0,1
Rwanda,Africa,123886,956.485,5544,42.803,720,1395,10.77,28,0.216,4
El Salvador,Americas,123025,1896.718,962,14.831,0,3829,59.033,3,0.046,1
Lao People's Democratic Republic,Western Pacific,122241,1680.159,6371,87.567,805,471,6.474,60,0.825,7
Luxembourg,Europe,121237,19363.592,10937,1746.823,2312,931,148.696,9,1.437,1
Cambodia,Western Pacific,120718,722.042,165,0.987,34,3015,18.033,0,0,0
Cameroon,Africa,109666,413.119,0,0,0,1853,6.98,0,0,0
Jamaica,Americas,107721,3637.789,9527,321.731,1342,2514,84.899,28,0.946,8
Réunion,Africa,102216,11416.802,16256,1815.68,0,435,48.586,16,1.787,0
Maldives,South-East Asia,100451,18583.316,3120,577.196,0,264,48.84,0,0,0
Trinidad and Tobago,Americas,98927,7068.799,4714,336.837,1030,3134,223.939,161,11.504,32
Angola,Africa,92581,281.69,4956,15.079,674,1847,5.62,48,0.146,5
Democratic Republic of the Congo,Africa,82306,91.899,2131,2.379,587,1225,1.368,0,0,0
Malawi,Africa,81890,428.072,3485,18.218,476,2445,12.781,45,0.235,8
Senegal,Africa,81366,485.943,4094,24.451,608,1903,11.365,11,0.066,2
Côte d’Ivoire,Africa,78495,297.574,2780,10.539,237,747,2.832,17,0.064,2
Mauritius,Africa,69557,5469.315,612,48.122,73,786,61.804,0,0,0
Eswatini,Africa,67676,5833.313,655,56.458,112,1352,116.535,26,2.241,3
Guadeloupe,Americas,65135,16278.704,8620,2154.332,0,832,207.936,1,0.25,0
French Guiana,Americas,65083,21790.064,9382,3141.133,974,344,115.173,2,0.67,0
Martinique,Americas,63055,16802.793,11215,2988.555,3472,795,211.85,7,1.865,0
Malta,Europe,62387,12124.245,4115,799.706,462,500,97.17,16,3.109,4
Suriname,Americas,60823,10368.169,5447,928.521,1047,1201,204.728,8,1.364,2
Fiji,Western Pacific,58491,6524.773,2842,317.03,0,721,80.429,17,1.896,0
Madagascar,Africa,54101,195.374,1667,6.02,0,1117,4.034,50,0.181,0
Mauritania,Africa,52772,1134.965,6947,149.409,977,895,19.249,15,0.323,2
Cabo Verde,Africa,52729,9483.855,5353,962.792,0,370,66.548,10,1.799,0
Syrian Arab Republic,Eastern Mediterranean,50580,289.018,138,0.789,0,2936,16.777,18,0.103,0
Sudan,Eastern Mediterranean,49916,113.835,1896,4.324,0,3358,7.658,18,0.041,0
French Polynesia,Western Pacific,47009,16734.66,475,169.095,241,636,226.409,0,0,0
Guyana,Americas,47005,5976.083,5587,710.315,1000,1075,136.672,15,1.907,2
Gabon,Africa,44806,2013.089,2166,97.316,0,297,13.344,7,0.315,0
Iceland,Europe,43768,12019.751,8894,2442.507,1206,43,11.809,4,1.098,1
Belize,Americas,38950,9795.588,4322,1086.946,878,607,152.655,2,0.503,0
Papua New Guinea,Western Pacific,36435,407.23,109,1.218,3,596,6.661,5,0.056,1
Burundi,Africa,36257,304.917,1535,12.909,142,14,0.118,0,0,0
Togo,Africa,35425,427.904,2394,28.917,328,261,3.153,9,0.109,1
Guinea,Africa,35202,268.047,1501,11.429,169,406,3.091,9,0.069,3
Mayotte,Africa,33757,12373.586,9086,3330.462,1235,186,68.178,0,0,0
Barbados,Americas,33311,11591.475,2714,944.411,0,268,93.258,4,1.392,0
Lesotho,Africa,31604,1475.272,1605,74.921,232,687,32.069,14,0.654,1
Curaçao,Americas,30864,18808.846,6116,3727.155,1106,199,121.273,10,6.094,2
United Republic of Tanzania,Africa,30564,51.167,0,0,0,740,1.239,0,0,0
Seychelles,Africa,30364,30874.353,4109,4178.063,0,126,128.118,0,0,0
Bahamas,Americas,29908,7605.456,2786,708.466,419,719,182.838,2,0.509,0
Aruba,Americas,29176,27327.052,4966,4651.293,575,182,170.466,1,0.937,0
Andorra,Europe,28899,37402.446,2491,3223.969,0,141,182.489,0,0,0
Mali,Africa,27654,136.557,4053,20.014,504,678,3.348,8,0.04,1
Haiti,Americas,26807,235.097,503,4.411,0,780,6.841,6,0.053,0
Benin,Africa,26036,214.762,514,4.24,0,162,1.336,1,0.008,0
Jersey,Europe,25333,23500.872,3118,2892.501,341,92,85.346,3,2.783,0
Somalia,Eastern Mediterranean,24261,152.65,0,0,0,1335,8.4,0,0,0
Congo,Africa,22418,406.264,574,10.402,0,370,6.705,0,0,0
Burkina Faso,Africa,19972,95.545,1335,6.387,86,339,1.622,6,0.029,0
Timor-Leste,South-East Asia,19861,1506.396,6,0.455,1,122,9.253,0,0,0
Isle of Man,Europe,19686,23151.284,1409,1657.023,123,70,82.322,2,2.352,2
Guam,Western Pacific,17584,10418.605,1738,1029.773,384,274,162.346,1,0.593,0
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
South Sudan,Africa,16454,146.993,412,3.681,47,136,1.215,0,0,0
Saint Lucia,Americas,15937,8679.007,1705,928.513,565,310,168.82,5,2.723,0
Brunei Darussalam,Western Pacific,15797,3610.916,247,56.46,47,59,13.486,0,0,0
Equatorial Guinea,Africa,14871,1059.954,995,70.92,0,177,12.616,2,0.143,0
Djibouti,Eastern Mediterranean,14680,1485.83,732,74.089,139,189,19.13,0,0,0
New Zealand,Western Pacific,14572,302.184,422,8.751,61,52,1.078,1,0.021,0
Nicaragua,Americas,13589,205.131,0,0,0,218,3.291,0,0,0
New Caledonia,Western Pacific,13500,4728.58,346,121.192,43,281,98.425,0,0,0
Central African Republic,Africa,13319,275.769,865,17.91,669,108,2.236,7,0.145,2
United States Virgin Islands,Americas,13110,12554.465,1950,1867.369,157,90,86.186,1,0.958,0
Cayman Islands,Americas,11666,17751.065,1946,2961.047,0,12,18.259,0,0,0
Gambia,Africa,11122,460.22,330,13.655,0,344,14.234,1,0.041,0
Gibraltar,Europe,10400,30868.778,941,2793.031,152,100,296.815,0,0,0
San Marino,Europe,10350,30496.788,1243,3662.561,161,103,303.495,0,0,0
Yemen,Eastern Mediterranean,10233,34.309,81,0.272,0,1987,6.662,1,0.003,0
Guernsey,Europe,10199,15820.252,731,1133.896,64,30,46.535,4,6.205,0
Grenada,Americas,8966,7968.149,1865,1657.439,365,201,178.63,1,0.889,0
Faroe Islands,Europe,8959,18334.186,1788,3659.061,380,15,30.697,0,0,0
Eritrea,Africa,8755,246.869,544,15.339,102,85,2.397,6,0.169,1
Niger,Africa,8306,34.313,716,2.958,46,286,1.181,9,0.037,0
Sint Maarten,Americas,7899,18420.316,1954,4556.69,1006,75,174.899,0,0,0
Bermuda,Americas,7880,12653.959,869,1395.468,0,110,176.642,0,0,0
Comoros,Africa,7715,887.188,218,25.069,36,159,18.284,0,0,1
Dominica,Americas,7667,10649.942,594,825.103,0,47,65.286,0,0,0
Sierra Leone,Africa,7382,92.541,30,0.376,0,123,1.542,0,0,0
Liberia,Africa,7121,140.796,270,5.338,0,287,5.675,0,0,0
Greenland,Europe,7083,12476.221,3679,6480.307,630,2,3.523,1,1.761,0
Liechtenstein,Europe,7020,18117.532,318,820.709,0,67,172.917,0,0,0
Guinea-Bissau,Africa,6898,350.508,286,14.533,90,150,7.622,1,0.051,0
Saint Vincent and the Grenadines,Americas,6562,5914.909,315,283.937,0,85,76.618,2,1.803,0
Chad,Africa,6558,39.925,373,2.271,0,185,1.126,1,0.006,0
Monaco,Europe,6362,16211.395,769,1959.535,96,44,112.119,2,5.096,0
Saint Martin,Americas,5912,15292.687,1665,4306.888,561,41,106.056,1,2.587,0
Sao Tome and Principe,Africa,5404,2465.79,1253,571.731,169,65,29.659,4,1.825,0
Antigua and Barbuda,Americas,5214,5324.266,499,509.553,45,120,122.538,1,1.021,0
British Virgin Islands,Americas,4947,16360.75,1187,3925.654,0,40,132.288,0,0,0
Saint Kitts and Nevis,Americas,4645,8732.516,979,1840.502,161,28,52.639,0,0,0
Turks and Caicos Islands,Americas,4636,11973.759,1074,2773.904,154,28,72.318,2,5.166,1
Bonaire,Americas,4622,22098.972,871,4164.475,158,25,119.531,2,9.563,1
Northern Mariana Islands (Commonwealth of the),Western Pacific,3802,6605.626,284,493.424,51,20,34.748,2,3.475,0
Bhutan,South-East Asia,2886,374.024,133,17.237,13,3,0.389,0,0,0
Saint Barthélemy,Americas,2871,29044.006,916,9266.566,481,4,40.465,0,0,0
Anguilla,Americas,1942,12944.941,165,1099.853,0,6,39.995,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,385,6643.658,188,3244.176,31,0,0,0,0,0
Sint Eustatius,Americas,218,6944.887,76,2421.153,5,0,0,0,0,0
Saba,Americas,176,9105.018,81,4190.378,9,0,0,0,0,0
Montserrat,Americas,121,2420.484,31,620.124,3,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,85,2440.425,0,0,0,0,0,0,0,0
Palau,Western Pacific,40,221.092,22,121.601,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,25,3.64,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
