Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,141057106,1806.9624964416976,5283027,67.67636120855109,724720,3015043,38.623149025608576,82424,1.055863692586396,10955,
United States of America,Americas,31311941,9459.73,471530,142.46,61306,561616,169.67,5091,1.54,758,Community transmission
India,South-East Asia,15061919,1091.44,1534202,111.17,273810,178769,12.95,8590,0.62,1619,Clusters of cases
Brazil,Americas,13900091,6539.39,455085,214.1,67636,371678,174.86,20344,9.57,2929,Community transmission
France,Europe,5207857,8007.24,227724,350.13,29344,100090,153.89,1958,3.01,169,Community transmission
Russian Federation,Europe,4710690,3227.95,60980,41.79,8589,105928,72.59,2665,1.83,346,Clusters of cases
The United Kingdom,Europe,4387824,6463.52,18045,26.58,1882,127270,187.48,183,0.27,10,Community transmission
Turkey,Europe,4268447,5061.06,419436,497.32,55802,35926,42.6,1987,2.36,318,Community transmission
Italy,Europe,3870131,6488.99,100317,168.2,12688,116927,196.05,2673,4.48,251,Clusters of cases
Spain,Europe,3396685,7176.2,25769,54.44,0,76882,162.43,122,0.26,0,Community transmission
Germany,Europe,3142262,3778.27,130749,157.21,0,79914,96.09,1462,1.76,0,Community transmission
Poland,Europe,2695327,7100.79,108680,286.32,7302,62133,163.69,3652,9.62,101,Community transmission
Argentina,Americas,2677747,5924.77,160447,355,19119,59164,130.91,1517,3.36,80,Community transmission
Colombia,Americas,2636076,5180.67,117361,230.65,16654,67931,133.5,2323,4.57,367,Community transmission
Mexico,Americas,2304906,1787.68,26486,20.54,4967,212228,164.6,3016,2.34,535,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2237089,2663.42,166948,198.76,21644,66732,79.45,2242,2.67,405,Community transmission
Ukraine,Europe,1953016,4465.69,91911,210.16,6506,40000,91.46,2699,6.17,214,Community transmission
Peru,Americas,1697626,5148.71,57859,175.48,8575,56797,172.26,2128,6.45,343,Community transmission
Indonesia,South-East Asia,1604348,586.55,37353,13.66,4585,43424,15.88,894,0.33,96,Community transmission
Czechia,Europe,1602711,14987.1,21527,201.3,2364,28532,266.81,614,5.74,106,Community transmission
South Africa,Africa,1566769,2641.72,8311,14.01,1089,53736,90.6,414,0.7,25,Community transmission
Netherlands,Europe,1403833,8064.49,53431,306.94,8600,16916,97.18,147,0.84,12,Community transmission
Chile,Americas,1124718,5883.59,48219,252.24,7370,25177,131.71,831,4.35,122,Community transmission
Canada,Americas,1113907,2951.36,61368,162.6,7845,23591,62.51,304,0.81,50,Community transmission
Romania,Europe,1029304,5325.22,23137,119.7,2265,26232,135.71,1097,5.68,160,Community transmission
Iraq,Eastern Mediterranean,977175,2429.42,52229,129.85,6188,14981,37.25,268,0.67,33,Community transmission
Belgium,Europe,949996,8244.75,21739,188.67,2,23747,206.09,236,2.05,6,Community transmission
Philippines,Western Pacific,936133,854.28,71286,65.05,10098,15960,14.56,1015,0.93,150,Community transmission
Sweden,Europe,900138,8715.86,29505,285.69,0,13788,133.51,21,0.2,0,Community transmission
Israel,Europe,837160,9671.95,1088,12.57,234,6338,73.22,39,0.45,4,Community transmission
Portugal,Europe,831001,8071.18,3507,34.06,441,16945,164.58,29,0.28,3,Clusters of cases
Pakistan,Eastern Mediterranean,756285,342.38,35267,15.97,6127,16243,7.35,800,0.36,149,Community transmission
Hungary,Europe,753188,7709.57,27947,286.06,2680,25381,259.8,1673,17.12,197,Community transmission
Bangladesh,South-East Asia,718950,436.55,34194,20.76,3698,10385,6.31,646,0.39,102,Community transmission
Jordan,Eastern Mediterranean,685973,6723.16,20238,198.35,2507,8246,80.82,473,4.64,68,Community transmission
Serbia,Europe,662368,9562.53,20160,291.05,2069,5991,86.49,256,3.7,37,Community transmission
Switzerland,Europe,629507,7273.65,8708,100.62,0,9815,113.41,14,0.16,0,Community transmission
Austria,Europe,590260,6631.34,16316,183.3,2159,9650,108.41,239,2.69,34,Community transmission
Japan,Western Pacific,534052,422.25,27766,21.95,4223,9641,7.62,241,0.19,19,Clusters of cases
Lebanon,Eastern Mediterranean,510403,7477.94,13557,198.62,1900,6925,101.46,264,3.87,39,Community transmission
Morocco,Eastern Mediterranean,505811,1370.37,3709,10.05,364,8945,24.23,45,0.12,1,Community transmission
United Arab Emirates,Eastern Mediterranean,497154,5026.63,13407,135.56,1930,1554,15.71,23,0.23,4,Clusters of cases
Saudi Arabia,Eastern Mediterranean,404970,1163.24,6535,18.77,916,6823,19.6,69,0.2,13,Community transmission
Bulgaria,Europe,386381,5558.25,14388,206.98,418,15195,218.59,777,11.18,57,Clusters of cases
Slovakia,Europe,376067,6890.36,4899,89.76,93,11172,204.7,542,9.93,66,Clusters of cases
Malaysia,Western Pacific,375054,1158.79,14198,43.87,2195,1378,4.26,49,0.15,8,Community transmission
Panama,Americas,360597,8357.28,2220,51.45,348,6187,143.39,28,0.65,2,Community transmission
Ecuador,Americas,360546,2043.56,13729,77.82,2389,17703,100.34,410,2.32,62,Community transmission
Belarus,Europe,344223,3642.83,8185,86.62,1300,2423,25.64,69,0.73,10,Community transmission
Kazakhstan,Europe,341599,1819.27,16365,87.16,0,4157,22.14,194,1.03,0,Clusters of cases
Greece,Europe,315273,2941.37,19793,184.66,1829,9462,88.28,577,5.38,65,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,309567,6068.26,12693,248.81,988,3285,64.39,161,3.16,34,Community transmission
Croatia,Europe,308200,7594.57,15262,376.08,410,6601,162.66,268,6.6,39,Community transmission
Azerbaijan,Europe,300666,2965.39,14673,144.72,2144,4140,40.83,225,2.22,33,Clusters of cases
Georgia,Europe,295936,7418.48,7181,180.01,578,3949,98.99,66,1.65,10,Community transmission
Bolivia (Plurinational State of),Americas,288545,2471.9,6975,59.75,1185,12634,108.23,192,1.64,9,Community transmission
Tunisia,Eastern Mediterranean,285490,2415.6,13629,115.32,1514,9783,82.78,490,4.15,66,Community transmission
Nepal,South-East Asia,284673,977.02,4645,15.94,1015,3083,10.58,43,0.15,8,Clusters of cases
Dominican Republic,Americas,261129,2407.18,3431,31.63,502,3418,31.51,30,0.28,4,Community transmission
Kuwait,Eastern Mediterranean,256987,6017.63,9893,231.66,1127,1448,33.91,41,0.96,8,Community transmission
Paraguay,Americas,248364,3482.13,14619,204.96,1558,5251,73.62,502,7.04,74,Community transmission
Republic of Moldova,Europe,245897,6095.67,4680,116.01,403,5571,138.1,183,4.54,23,Community transmission
Ireland,Europe,243508,4905.04,2563,51.63,270,4836,97.41,51,1.03,1,Community transmission
Denmark,Europe,242633,4166.97,4841,83.14,902,2455,42.16,14,0.24,3,Community transmission
Ethiopia,Africa,242028,210.53,13032,11.34,1792,3370,2.93,196,0.17,42,Community transmission
Lithuania,Europe,234232,8383.12,7449,266.6,601,3770,134.93,73,2.61,10,Community transmission
Slovenia,Europe,232077,11073.11,5575,266,478,4462,212.9,24,1.15,2,Clusters of cases
Costa Rica,Americas,228577,4487.08,5142,100.94,0,3071,60.29,47,0.92,0,Community transmission
Egypt,Eastern Mediterranean,216334,211.4,5845,5.71,850,12738,12.45,293,0.29,44,Community transmission
Guatemala,Americas,212307,1185.04,9236,51.55,0,7190,40.13,174,0.97,0,Community transmission
Armenia,Europe,208818,7046.96,5491,185.3,298,3895,131.44,160,5.4,17,Community transmission
Honduras,Americas,200259,2021.88,4734,47.8,577,4954,50.02,184,1.86,20,Community transmission
Qatar,Eastern Mediterranean,196580,6823.2,6555,227.52,823,382,13.26,49,1.7,6,Community transmission
Bosnia and Herzegovina,Europe,190767,5814.62,6513,198.52,471,7870,239.88,465,14.17,33,Community transmission
Venezuela (Bolivarian Republic of),Americas,181903,639.69,8117,28.54,1294,1888,6.64,129,0.45,18,Community transmission
Oman,Eastern Mediterranean,180031,3525.44,8482,166.1,3363,1878,36.78,102,2,57,Community transmission
Libya,Eastern Mediterranean,171880,2501.42,4055,59.01,749,2896,42.15,73,1.06,14,Community transmission
Nigeria,Africa,164233,79.67,440,0.21,86,2061,1,1,0,0,Community transmission
Bahrain,Eastern Mediterranean,164110,9644.59,7648,449.47,997,594,34.91,37,2.17,6,Community transmission
Uruguay,Americas,162400,4675.09,21020,605.11,2831,1848,53.2,434,12.49,60,Community transmission
Kenya,Africa,151653,282.03,5983,11.13,366,2481,4.61,133,0.25,18,Community transmission
North Macedonia,Europe,147094,7060.35,5250,251.99,361,4443,213.26,215,10.32,24,Community transmission
Myanmar,South-East Asia,142628,262.14,41,0.08,0,3206,5.89,0,0,0,Clusters of cases
Albania,Europe,129594,4503.23,1201,41.73,138,2342,81.38,25,0.87,2,Clusters of cases
Puerto Rico,Americas,121701,4254.01,7504,262.3,1130,2200,76.9,46,1.61,6,Community transmission
Algeria,Africa,119642,272.84,1126,2.57,156,3155,7.19,25,0.06,3,Community transmission
Estonia,Europe,117782,8862.61,3339,251.25,228,1100,82.77,63,4.74,8,Clusters of cases
Republic of Korea,Western Pacific,114646,223.62,4505,8.79,532,1801,3.51,31,0.06,4,Clusters of cases
Latvia,Europe,111334,5836.11,3726,195.32,337,2053,107.62,67,3.51,5,Community transmission
Norway,Europe,106223,1978.97,4264,79.44,0,708,13.19,24,0.45,0,Community transmission
China,Western Pacific,103315,7.02,202,0.01,42,4856,0.33,2,0,0,Clusters of cases
Kosovo[1],Europe,101474,5651.05,3521,196.08,364,2062,114.83,84,4.68,11,Community transmission
Sri Lanka,South-East Asia,96796,452.04,1665,7.78,357,618,2.89,20,0.09,1,Clusters of cases
Montenegro,Europe,95548,15213.15,906,144.25,0,1434,228.32,46,7.32,0,Clusters of cases
Cuba,Americas,93511,825.59,6980,61.62,1037,525,4.64,66,0.58,13,Community transmission
Kyrgyzstan,Europe,92095,1411.59,1723,26.41,212,1555,23.83,27,0.41,6,Clusters of cases
Ghana,Africa,91709,295.14,449,1.44,46,771,2.48,17,0.05,0,Community transmission
Zambia,Africa,90918,494.55,889,4.84,74,1235,6.72,9,0.05,1,Community transmission
Uzbekistan,Europe,86982,259.89,1868,5.58,302,638,1.91,4,0.01,1,Clusters of cases
Finland,Europe,83633,1513.64,1580,28.6,0,887,16.05,19,0.34,0,Community transmission
Mozambique,Africa,69203,221.41,445,1.42,69,798,2.55,7,0.02,0,Community transmission
El Salvador,Americas,67557,1041.55,1068,16.47,153,2075,31.99,24,0.37,3,Community transmission
Luxembourg,Europe,64746,10341.03,1096,175.05,0,785,125.38,17,2.72,0,Community transmission
Cameroon,Africa,61731,232.54,4394,16.55,0,919,3.46,68,0.26,0,Community transmission
Singapore,Western Pacific,60831,1039.79,178,3.04,23,30,0.51,0,0,0,Sporadic cases
Afghanistan,Eastern Mediterranean,57898,148.73,656,1.69,105,2546,6.54,17,0.04,7,Community transmission
Cyprus,Europe,56259,6335.44,4754,535.36,852,291,32.77,19,2.14,3,Clusters of cases
Namibia,Africa,46655,1836.16,1128,44.39,140,604,23.77,34,1.34,2,Community transmission
Côte d’Ivoire,Africa,45560,172.72,354,1.34,41,274,1.04,11,0.04,0,Community transmission
Botswana,Africa,44075,1874.23,1401,59.58,0,671,28.53,35,1.49,0,Community transmission
Jamaica,Americas,43890,1482.19,1390,46.94,206,723,24.42,51,1.72,2,Community transmission
Thailand,South-East Asia,43742,62.67,10132,14.52,1390,104,0.15,7,0.01,3,Clusters of cases
Uganda,Africa,41378,90.46,238,0.52,38,338,0.74,1,0,0,Community transmission
Senegal,Africa,39782,237.59,351,2.1,51,1091,6.52,13,0.08,1,Community transmission
Zimbabwe,Africa,37751,253.99,463,3.12,82,1553,10.45,15,0.1,1,Community transmission
Malawi,Africa,33941,177.42,114,0.6,7,1138,5.95,10,0.05,0,Community transmission
Sudan,Eastern Mediterranean,33022,75.31,165,0.38,0,2208,5.04,23,0.05,0,Clusters of cases
Madagascar,Africa,32205,116.3,4142,14.96,588,542,1.96,42,0.15,4,Community transmission
Malta,Europe,29966,5823.57,352,68.41,39,409,79.48,7,1.36,0,Clusters of cases
Australia,Western Pacific,29519,115.76,114,0.45,14,910,3.57,1,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,28956,32.33,414,0.46,62,745,0.83,0,0,0,Community transmission
Maldives,South-East Asia,26348,4874.35,731,135.23,203,70,12.95,3,0.55,1,Clusters of cases
Angola,Africa,24389,74.21,932,2.84,89,561,1.71,8,0.02,0,Community transmission
Rwanda,Africa,23888,184.43,462,3.57,22,325,2.51,10,0.08,3,Community transmission
Mongolia,Western Pacific,21995,670.93,6981,212.95,1340,44,1.34,22,0.67,3,Clusters of cases
Gabon,Africa,21858,982.06,1222,54.9,0,133,5.98,6,0.27,0,Community transmission
Guinea,Africa,21612,164.57,663,5.05,152,138,1.05,4,0.03,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,21142,120.81,916,5.23,138,1446,8.26,68,0.39,9,Community transmission
