Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,645084824,8276.111153304248,3085150,39.58090994342879,112416,6633118,85.09954012029768,9038,0.11595295660460889,259,
United States of America,Americas,98072469,29628.907,454077,137.182,0,1074367,324.58,3122,0.943,0
India,South-East Asia,44674981,3237.307,1363,0.099,159,530658,38.453,28,0.002,0
France,Europe,37361707,57444.765,373823,574.764,46422,155988,239.836,468,0.72,0
Germany,Europe,36758926,44199.086,175440,210.95,0,158966,191.141,82,0.099,0
Brazil,Americas,35497781,16700.169,136008,63.986,0,690577,324.887,468,0.22,0
Republic of Korea,Western Pacific,27754149,54134.172,422899,824.86,25667,31099,60.658,330,0.644,30
Japan,Western Pacific,26069823,20612.391,801750,633.912,0,51702,40.879,1241,0.981,0
Italy,Europe,24709404,41429.892,128534,215.511,0,182419,305.859,430,0.721,0
The United Kingdom,Europe,24053576,35432.305,15082,22.217,0,197723,291.257,40,0.059,0
Russian Federation,Europe,21671528,14850.179,48260,33.07,6376,392661,269.067,378,0.259,50
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13632635,28801.779,17828,37.665,0,116422,245.966,314,0.663,0
Viet Nam,Western Pacific,11529639,11844.881,11917,12.243,194,43178,44.359,1,0.001,0
Australia,Western Pacific,10827144,42459.581,0,0,0,15528,60.894,0,0,0
China,Western Pacific,9923307,674.464,149682,10.174,19908,30879,2.099,354,0.024,62
Argentina,Americas,9739856,21550.369,0,0,0,130034,287.713,0,0,0
Netherlands,Europe,8550311,49118.307,4286,24.621,0,22937,131.764,14,0.08,0
Iran (Islamic Republic of),Eastern Mediterranean,7560162,9000.948,307,0.366,57,144658,172.226,18,0.021,0
Mexico,Americas,7152852,5547.739,7541,5.849,0,330633,256.438,41,0.032,0
Indonesia,South-East Asia,6700015,2449.52,17578,6.427,1225,160255,58.589,229,0.084,31
Poland,Europe,6357700,16749.241,3189,8.401,211,118382,311.875,42,0.111,0
Colombia,Americas,6323357,12427.275,5336,10.487,0,141943,278.96,32,0.063,0
Austria,Europe,5613343,63063.73,32586,366.091,4714,21265,238.904,19,0.213,0
Portugal,Europe,5536455,53773.348,0,0,0,25345,246.166,0,0,0
Greece,Europe,5448700,50834.23,43748,408.152,0,34482,321.704,154,1.437,0
Ukraine,Europe,5346094,12224.181,4810,10.998,0,110640,252.985,54,0.123,0
Malaysia,Western Pacific,5010634,15481.166,10302,31.83,867,36763,113.585,50,0.154,10
Chile,Americas,4949655,25892.462,12608,65.955,0,62659,327.78,88,0.46,0
Israel,Europe,4739147,54752.753,10774,124.475,1549,11919,137.704,16,0.185,0
Thailand,South-East Asia,4715489,6755.717,3961,5.675,0,33392,47.84,107,0.153,0
Belgium,Europe,4648042,40339.043,3636,31.556,0,33100,287.266,24,0.208,0
Czechia,Europe,4567493,42711.044,6126,57.285,105,41957,392.344,35,0.327,0
Canada,Americas,4423053,11719.132,0,0,0,48044,127.295,0,0,0
Switzerland,Europe,4335518,50094.851,3279,37.887,0,13759,158.979,4,0.046,0
Peru,Americas,4330521,13133.993,39148,118.732,0,217566,659.854,96,0.291,0
Philippines,Western Pacific,4049042,3695.019,8001,7.301,1134,64880,59.207,155,0.141,60
South Africa,Africa,4042912,6816.728,0,0,0,102550,172.909,122,0.206,0
Denmark,Europe,3365856,57805.135,9918,170.332,0,7591,130.368,50,0.859,0
Romania,Europe,3298738,17066.406,0,0,0,67289,348.127,0,0,0
Sweden,Europe,2640369,25566.17,5212,50.467,0,21234,205.605,10,0.097,0
Iraq,Eastern Mediterranean,2463296,6124.175,0,0,0,25363,63.057,0,0,0
Serbia,Europe,2429910,35080.316,4465,64.461,390,17438,251.75,34,0.491,5
Singapore,Western Pacific,2181048,37280.692,8652,147.889,1293,1707,29.178,2,0.034,0
Hungary,Europe,2171056,22222.736,4704,48.15,0,48337,494.773,50,0.512,0
Bangladesh,South-East Asia,2036825,1236.768,162,0.098,19,29437,17.874,2,0.001,1
New Zealand,Western Pacific,1988259,41231.085,37483,777.295,0,2257,46.804,22,0.456,0
Slovakia,Europe,1857211,34028.109,820,15.024,22,20764,380.441,22,0.403,3
Georgia,Europe,1807654,45313.981,192,4.813,0,16888,423.346,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1682409,33889.2,584,11.764,0,8231,165.799,34,0.685,0
Pakistan,Eastern Mediterranean,1575424,713.209,134,0.061,0,30635,13.869,3,0.001,0
Kazakhstan,Europe,1489261,7931.428,1335,7.11,148,19056,101.487,2,0.011,0
Norway,Europe,1470838,27402.256,1099,20.475,68,4498,83.799,0,0,0
Finland,Europe,1417909,25662.155,3812,68.992,0,7572,137.043,1,0.018,0
Bulgaria,Europe,1288912,18541.543,1219,17.536,59,38062,547.538,12,0.173,1
Lithuania,Europe,1280625,45833.348,2986,106.868,45,9441,337.892,5,0.179,0
