Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Netherlands,Europe,1929018,11081.48,17487,100.46,2651,17982,103.3,50,0.29,8
Philippines,Western Pacific,1899200,1733.15,108631,99.13,16313,32728,29.87,1847,1.69,236
Iraq,Eastern Mediterranean,1855781,4613.79,46405,115.37,8084,20480,50.92,522,1.3,70
Czechia,Europe,1678544,15696.22,1340,12.53,213,30399,284.26,15,0.14,6
Malaysia,Western Pacific,1640843,5069.65,151383,467.72,24599,15211,47,1731,5.35,393
Chile,Americas,1635958,8557.97,4269,22.33,785,36778,192.39,254,1.33,60
Bangladesh,South-East Asia,1482628,900.26,29425,17.87,0,25729,15.62,706,0.43,0
Canada,Americas,1479309,3919.51,19134,50.7,3160,26855,71.15,94,0.25,6
Japan,Western Pacific,1388863,1098.12,161523,127.71,26050,15797,12.49,263,0.21,60
Belgium,Europe,1175575,10202.48,10840,94.08,2,25354,220.04,36,0.31,2
Pakistan,Eastern Mediterranean,1140411,516.27,26764,12.12,4553,25320,11.46,607,0.27,85
Thailand,South-East Asia,1139571,1632.62,129861,186.05,18702,10587,15.17,1761,2.52,273
Sweden,Europe,1122139,10865.45,6576,63.67,1519,14682,142.16,4,0.04,0
Romania,Europe,1094870,5664.44,5053,26.14,946,34490,178.44,101,0.52,19
Israel,Europe,1031810,11920.8,58209,672.51,8078,6943,80.21,166,1.92,19
Portugal,Europe,1028421,9988.64,16296,158.28,2552,17689,171.81,76,0.74,15
Kazakhstan,Europe,829924,4419.97,32248,171.74,0,12655,67.4,930,4.95,0
Morocco,Eastern Mediterranean,829137,2246.34,37578,101.81,0,12079,32.73,607,1.64,0
Hungary,Europe,811706,8308.55,925,9.47,189,30057,307.66,11,0.11,1
Jordan,Eastern Mediterranean,792278,7765.05,4911,48.13,0,10338,101.32,74,0.73,0
Switzerland,Europe,764638,8835.03,14130,163.27,6,10416,120.35,24,0.28,0
Nepal,South-East Asia,754915,2590.93,10608,36.41,0,10638,36.51,183,0.63,0
Serbia,Europe,751147,10844.22,13178,190.25,2454,7240,104.52,52,0.75,7
United Arab Emirates,Eastern Mediterranean,713402,7213.07,7236,73.16,991,2031,20.54,19,0.19,3
Austria,Europe,677276,7608.93,8912,100.12,1329,10571,118.76,13,0.15,1
Tunisia,Eastern Mediterranean,651035,5508.55,15580,131.83,3552,22932,194.03,538,4.55,72
Cuba,Americas,619672,5470.94,65425,577.62,8509,4902,43.28,583,5.15,96
Lebanon,Eastern Mediterranean,595522,8725.03,6944,101.74,0,8024,117.56,25,0.37,0
Greece,Europe,573605,5351.51,23146,215.94,3528,13539,126.31,241,2.25,30
Saudi Arabia,Eastern Mediterranean,543318,1560.64,2575,7.4,290,8512,24.45,63,0.18,7
Georgia,Europe,536202,13441.43,30162,756.1,4031,7101,178.01,452,11.33,73
Ecuador,Americas,499631,2831.89,2551,14.46,0,32134,182.13,86,0.49,0
Bolivia (Plurinational State of),Americas,488403,4184.03,3957,33.9,682,18350,157.2,114,0.98,20
Belarus,Europe,474403,5020.5,9193,97.29,1551,3723,39.4,74,0.78,11
Paraguay,Americas,458116,6422.9,894,12.53,145,15633,219.18,141,1.98,20
Panama,Americas,454330,10529.65,4568,105.87,864,7023,162.77,42,0.97,5
Costa Rica,Americas,450291,8839.43,14015,275.12,2619,5394,105.89,110,2.16,16
Guatemala,Americas,450150,2512.62,22054,123.1,0,11615,64.83,276,1.54,0
Bulgaria,Europe,448431,6450.87,9733,140.01,1733,18647,268.24,209,3.01,34
Sri Lanka,South-East Asia,412370,1925.77,30558,142.71,0,8157,38.09,1172,5.47,0
Kuwait,Eastern Mediterranean,408797,9572.42,1145,26.81,0,2412,56.48,13,0.3,0
Azerbaijan,Europe,405542,3999.75,24624,242.86,3714,5434,53.59,203,2,31
Slovakia,Europe,394535,7228.73,652,11.95,89,12548,229.91,1,0.02,1
Viet Nam,Western Pacific,392938,403.68,80327,82.52,11575,9667,9.93,2517,2.59,318
Uruguay,Americas,384392,11065.68,747,21.5,105,6022,173.36,10,0.29,2
Myanmar,South-East Asia,383514,704.86,14746,27.1,0,14850,27.29,754,1.39,0
Croatia,Europe,372219,9172.1,3332,82.11,596,8318,204.97,23,0.57,2
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,361909,7094.29,9194,180.22,1788,3925,76.94,29,0.57,3
Dominican Republic,Americas,348915,3216.43,1918,17.68,349,4007,36.94,18,0.17,1
Ireland,Europe,344195,6933.21,12989,261.64,1866,5092,102.57,18,0.36,0
Denmark,Europe,341549,5865.75,6750,115.92,982,2573,44.19,11,0.19,2
Honduras,Americas,332832,3360.38,9207,92.96,1460,8751,88.35,224,2.26,47
Venezuela (Bolivarian Republic of),Americas,328550,1155.4,6623,23.29,1100,3940,13.86,96,0.34,16
Libya,Eastern Mediterranean,302177,4397.67,11009,160.22,1722,4152,60.43,151,2.2,26
Oman,Eastern Mediterranean,301784,5909.66,870,17.04,101,4049,79.29,29,0.57,2
Ethiopia,Africa,301713,262.44,8982,7.81,1621,4606,4.01,88,0.08,13
Lithuania,Europe,296738,10620.2,4186,149.82,642,4520,161.77,49,1.75,7
Egypt,Eastern Mediterranean,286938,280.39,1107,1.08,0,16691,16.31,44,0.04,0
Bahrain,Eastern Mediterranean,271933,15981.25,580,34.09,0,1388,81.57,3,0.18,0
Republic of Moldova,Europe,266314,6601.8,2814,69.76,497,6384,158.26,46,1.14,4
Slovenia,Europe,265159,12651.55,2576,122.91,509,4771,227.64,2,0.1,0
Republic of Korea,Western Pacific,245158,478.18,12299,23.99,1841,2265,4.42,68,0.13,8
Armenia,Europe,240261,8108.07,3519,118.76,522,4796,161.85,64,2.16,11
Kenya,Africa,232869,433.07,7206,13.4,817,4635,8.62,231,0.43,35
Qatar,Eastern Mediterranean,231559,8037.3,1338,46.44,0,601,20.86,0,0,0
Bosnia and Herzegovina,Europe,211689,6452.33,3045,92.81,630,9770,297.79,49,1.49,12
Zambia,Africa,205315,1116.82,1762,9.58,208,3587,19.51,23,0.13,1
Mongolia,Western Pacific,199274,6078.6,10867,331.48,0,913,27.85,22,0.67,0
Algeria,Africa,193674,441.66,3596,8.2,503,5121,11.68,192,0.44,25
Nigeria,Africa,189715,92.03,4448,2.16,835,2298,1.11,54,0.03,10
Kyrgyzstan,Europe,175009,2682.46,1581,24.23,196,2507,38.43,34,0.52,4
North Macedonia,Europe,172657,8287.35,6973,334.7,1081,5782,277.53,174,8.35,27
Puerto Rico,Americas,167072,5839.94,7209,251.99,1173,2786,97.38,84,2.94,8
Botswana,Africa,153793,6539.86,7332,311.78,2951,2213,94.11,132,5.61,42
Norway,Europe,153528,2860.28,5902,109.96,357,814,15.17,3,0.06,0
Uzbekistan,Europe,153204,457.75,5882,17.57,841,1056,3.16,48,0.14,6
Afghanistan,Eastern Mediterranean,152960,392.93,512,1.32,138,7101,18.24,47,0.12,8
Mozambique,Africa,144468,462.22,3085,9.87,436,1825,5.84,52,0.17,3
Albania,Europe,142253,4943.12,4656,161.79,888,2486,86.39,13,0.45,3
Latvia,Europe,141867,7436.64,1216,63.74,181,2573,134.88,6,0.31,2
Estonia,Europe,140692,10586.5,2204,165.84,351,1287,96.84,6,0.45,1
Kosovo[1],Europe,137070,7633.38,14015,780.49,2295,2378,132.43,85,4.73,18
Finland,Europe,124855,2259.7,3985,72.12,570,1018,18.42,4,0.07,0
Namibia,Africa,124083,4883.42,1001,39.4,51,3349,131.8,33,1.3,3
Zimbabwe,Africa,123986,834.2,2084,14.02,275,4356,29.31,158,1.06,18
China,Western Pacific,122852,8.35,266,0.02,43,5680,0.39,6,0,2
Ghana,Africa,116441,374.73,3513,11.31,916,991,3.19,46,0.15,9
Cyprus,Europe,112532,12672.45,2014,226.8,254,491,55.29,21,2.36,5
Montenegro,Europe,112500,17912.24,4390,698.98,764,1704,271.31,47,7.48,9
Uganda,Africa,98530,215.41,1077,2.35,0,2968,6.49,37,0.08,0
El Salvador,Americas,94060,1450.15,1644,25.35,0,2872,44.28,55,0.85,9
Cambodia,Western Pacific,90958,544.04,3235,19.35,423,1841,11.01,94,0.56,6
Rwanda,Africa,85201,657.81,3366,25.99,570,1056,8.15,60,0.46,8
Cameroon,Africa,83425,314.27,971,3.66,0,1350,5.09,12,0.05,0
Maldives,South-East Asia,80436,14880.56,682,126.17,0,225,41.62,3,0.55,0
Luxembourg,Europe,75442,12049.36,524,83.69,130,830,132.56,0,0,0
Senegal,Africa,72315,431.89,874,5.22,100,1717,10.25,76,0.45,11
Singapore,Western Pacific,66928,1144,562,9.61,116,52,0.89,6,0.1,0
Jamaica,Americas,64294,2171.24,4362,147.31,463,1453,49.07,111,3.75,22
Malawi,Africa,60090,314.11,1042,5.45,136,2129,11.13,101,0.53,18
Democratic Republic of the Congo,Africa,54508,60.86,751,0.84,282,1057,1.18,4,0,0
Côte d’Ivoire,Africa,54299,205.85,1363,5.17,261,415,1.57,42,0.16,2
Réunion,Africa,48683,5437.55,1929,215.46,0,332,37.08,22,2.46,0
Australia,Western Pacific,47840,187.61,6329,24.82,1131,989,3.88,18,0.07,3
Angola,Africa,46723,142.16,1398,4.25,184,1182,3.6,49,0.15,6
Fiji,Western Pacific,45168,5038.57,2557,285.24,423,468,52.21,47,5.24,9
Trinidad and Tobago,Americas,43538,3110.99,1111,79.39,194,1252,89.46,52,3.72,8
Madagascar,Africa,42854,154.76,18,0.07,4,955,3.45,1,0,0
Eswatini,Africa,42157,3633.71,3418,294.61,477,1057,91.11,84,7.24,15
French Polynesia,Western Pacific,40178,14302.9,4435,1578.81,0,370,131.72,125,44.5,17
Guadeloupe,Americas,37955,9485.81,2672,667.79,0,427,106.72,81,20.24,0
Sudan,Eastern Mediterranean,37699,85.97,76,0.17,1,2791,6.36,7,0.02,0
Martinique,Americas,35953,9580.7,2594,691.24,414,411,109.52,137,36.51,6
Malta,Europe,35950,6986.5,348,67.63,42,438,85.12,3,0.58,1
Cabo Verde,Africa,34992,6293.67,394,70.86,73,307,55.22,7,1.26,-1
French Guiana,Americas,34166,11438.92,1297,434.24,444,215,71.98,11,3.68,7
Mauritania,Africa,32721,703.73,1547,33.27,235,693,14.9,32,0.69,9
Guinea,Africa,29120,221.73,692,5.27,98,320,2.44,18,0.14,2
Suriname,Americas,27998,4772.67,1082,184.44,222,705,120.18,13,2.22,1
Syrian Arab Republic,Eastern Mediterranean,27221,155.54,662,3.78,0,1985,11.34,37,0.21,0
Gabon,Africa,25762,1157.46,136,6.11,0,165,7.41,0,0,0
Guyana,Americas,24713,3141.94,918,116.71,207,602,76.54,15,1.91,1
Haiti,Americas,20833,182.71,87,0.76,0,584,5.12,1,0.01,0
Togo,Africa,20517,247.83,1912,23.1,273,175,2.11,3,0.04,0
Seychelles,Africa,19863,20196.85,387,393.5,57,102,103.71,4,4.07,0
Mayotte,Africa,19739,7235.31,75,27.49,13,175,64.15,0,0,0
Papua New Guinea,Western Pacific,17986,201.03,103,1.15,11,192,2.15,0,0,0
Bahamas,Americas,17717,4505.35,755,191.99,0,343,87.22,13,3.31,0
Tajikistan,Europe,17053,178.8,279,2.93,0,125,1.31,0,0,0
Somalia,Eastern Mediterranean,17016,107.06,617,3.88,0,938,5.9,46,0.29,0
Belize,Americas,15793,3971.8,611,153.66,110,356,89.53,9,2.26,1
Timor-Leste,South-East Asia,15603,1183.44,1903,144.34,0,56,4.25,14,1.06,0
Curaçao,Americas,15086,9193.57,335,204.15,41,142,86.54,7,4.27,2
Andorra,Europe,15016,19434.41,35,45.3,2,130,168.25,1,1.29,0
Mali,Africa,14804,73.1,68,0.34,8,537,2.65,2,0.01,0
Lesotho,Africa,14395,671.96,25,1.17,7,403,18.81,3,0.14,0
Aruba,Americas,14231,13329.15,610,571.34,78,132,123.63,11,10.3,4
Lao People's Democratic Republic,Western Pacific,14104,193.85,2791,38.36,195,12,0.16,3,0.04,1
Burkina Faso,Africa,13754,65.8,64,0.31,17,171,0.82,0,0,0
Congo,Africa,13533,245.25,135,2.45,0,183,3.32,4,0.07,0
Benin,Africa,12492,103.04,2309,19.05,0,127,1.05,8,0.07,0
Burundi,Africa,11994,100.87,1203,10.12,176,10,0.08,0,0,0
Djibouti,Eastern Mediterranean,11707,1184.92,18,1.82,0,157,15.89,1,0.1,0
South Sudan,Africa,11365,101.53,122,1.09,18,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Iceland,Europe,10443,2867.9,527,144.73,0,31,8.51,1,0.27,0
Gambia,Africa,9533,394.47,169,6.99,0,311,12.87,26,1.08,0
Guam,Western Pacific,9501,5629.39,639,378.61,102,145,85.91,1,0.59,0
Jersey,Europe,9203,8537.42,216,200.38,34,76,70.5,1,0.93,0
Equatorial Guinea,Africa,9173,653.82,163,11.62,0,123,8.77,0,0,0
Nicaragua,Americas,8867,133.85,371,5.6,0,199,3,1,0.02,0
Mauritius,Africa,8667,681.49,1597,125.57,0,27,2.12,5,0.39,0
Yemen,Eastern Mediterranean,7676,25.74,269,0.9,51,1444,4.84,30,0.1,6
Saint Lucia,Americas,7536,4103.97,800,435.67,115,101,55,6,3.27,2
Eritrea,Africa,6636,187.12,18,0.51,1,37,1.04,0,0,0
Isle of Man,Europe,6431,7563.04,320,376.33,13,29,34.1,0,0,0
Sierra Leone,Africa,6358,79.7,11,0.14,0,121,1.52,0,0,0
Niger,Africa,5807,23.99,66,0.27,0,198,0.82,2,0.01,0
United States Virgin Islands,Americas,5707,5465.17,275,263.35,23,51,48.84,7,6.7,0
Guinea-Bissau,Africa,5676,288.41,310,15.75,42,115,5.84,19,0.97,5
Liberia,Africa,5538,109.5,20,0.4,0,245,4.84,0,0,0
Gibraltar,Europe,5314,15772.76,53,157.31,6,96,284.94,0,0,0
San Marino,Europe,5314,15657.96,59,173.85,9,90,265.19,0,0,0
Chad,Africa,4991,30.39,7,0.04,4,174,1.06,0,0,0
Barbados,Americas,4720,1642.45,126,43.85,26,48,16.7,0,0,0
Comoros,Africa,4055,466.31,12,1.38,0,147,16.9,0,0,0
Sint Maarten,Americas,3550,8278.53,237,552.68,30,46,107.27,4,9.33,0
Liechtenstein,Europe,3363,8679.38,33,85.17,0,58,149.69,0,0,0
Monaco,Europe,3170,8077.67,65,165.63,7,35,89.19,0,0,0
Saint Martin,Americas,3147,8140.41,55,142.27,0,17,43.97,-16,-41.39,0
New Zealand,Western Pacific,2941,60.99,329,6.82,70,26,0.54,0,0,0
Bermuda,Americas,2792,4483.48,67,107.59,0,33,52.99,0,0,0
Turks and Caicos Islands,Americas,2624,6777.21,36,92.98,8,20,51.66,1,2.58,0
Bhutan,South-East Asia,2591,335.79,11,1.43,0,3,0.39,0,0,0
Sao Tome and Principe,Africa,2570,1172.66,68,31.03,15,37,16.88,0,0,0
British Virgin Islands,Americas,2568,8492.91,0,0,0,37,122.37,0,0,0
Saint Vincent and the Grenadines,Americas,2321,2092.12,1,0.9,0,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,2265,517.74,1129,258.07,106,7,1.6,4,0.91,1
Bonaire,Americas,1746,8348.08,14,66.94,1,17,81.28,0,0,0
Antigua and Barbuda,Americas,1598,1631.79,177,180.74,58,43,43.91,0,0,0
Saint Barthélemy,Americas,1553,15710.67,21,212.44,0,1,10.12,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,189,262.53,0,1,1.39,0,0,0
Guernsey,Europe,1195,1853.63,72,111.68,0,18,27.92,0,0,0
Faroe Islands,Europe,999,2044.41,4,8.19,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,955,1795.38,213,400.44,26,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,669,1017.95,13,19.78,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,318,560.14,33,58.13,5,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,232,403.08,11,19.11,0,2,3.47,0,0,0
Grenada,Americas,230,204.4,34,30.22,0,1,0.89,0,0,0
Anguilla,Americas,194,1293.16,40,266.63,20,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,26,520.1,1,20,1,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
